,code,name,price,pct_change,pe,pb,market_cap,turnover_rate,tech_score,tech_trend,tech_momentum,tech_volume,fund_score,fund_valuation,fund_profit,fund_growth,total_score
1,001324,001324,21.48,4.68,0,0,0,9.73,83,30,30,15,18,0,0,10,57.0
2,000516,000516,5.19,-1.33,0,0,0,1.91,80,30,25,10,22,0,0,10,56.8
3,001269,001269,26.07,0.66,0,0,0,2.27,80,30,30,5,22,0,0,10,56.8
4,000922,000922,16.37,4.94,0,0,0,4.33,78,30,30,11,22,0,0,10,55.6
5,001201,001201,15.22,0.66,0,0,0,1.03,77,27,30,5,22,0,0,10,55.0
6,000014,000014,14.43,-0.82,0,0,0,2.24,67,17,30,5,30,0,8,10,52.2
7,000507,000507,5.77,0.0,0,0,0,2.03,72,27,20,10,22,0,0,10,52.0
8,000790,000790,4.22,1.44,0,0,0,1.31,72,27,30,0,22,0,0,10,52.0
9,000777,000777,26.06,3.82,0,0,0,4.76,72,27,25,5,22,0,0,10,52.0
10,000920,000920,14.04,-0.21,0,0,0,1.51,72,30,25,10,22,0,0,10,52.0
